X,Y
3359.67,-3671.86
3283.17,-3683.16
4011.99,-3598.54
4005.64,-3638.54
3184.69,-3674.62
3896,-3708.22
3781.85,-3747.93
3856.24,-3752.93
4013.24,-3742.68
3552.55,-3690.21
3625.86,-3738.21
3551.66,-3744.36
3339.83,-3739.97
3421.25,-3786.86
3651.98,-3762.45
3581.71,-3777.49
3862.04,-3797.01
3993.4,-3796.24
3386.74,-3845.25
3463.54,-3821.86
3728.31,-3825.43
3805.98,-3835.46
3939.59,-3859.35
3201.18,-3802.82
3214.09,-3881.46
3458.73,-3927.14
3753.1,-3885.43
3785.63,-3910.43
3711.37,-3937.87
3828.66,-3921.89
4020,-3923.71
3156.65,-3935.34
3254.37,-3934.74
4031.38,-4021.98
4100.23,-4015.54
3556.6,-3956.65
3389.22,-4016.51
3289.47,-3991.05
3616.81,-3938.61
3640.28,-3998.38
3663.48,-3104.27
3770.78,-3103.49
3719.77,-3115.85
3611.02,-3188.28
3424.66,-3103.57
3382.46,-3127.42
3471.84,-3127.79
3519.67,-3175.63
3842.04,-3112.38
3558.68,-3181.65
3468.37,-3245.97
3961.56,-3168.12
3974.41,-3210.07
4045.4,-3236.55
3932.73,-3282.52
4114.33,-3156.81
4153.19,-3260.97
4114.29,-3465.93
4269.71,-3101.59
4158.81,-3126.13
4279.45,-3146.09
4344.4,-3190.76
4287.13,-3197.9
4468.93,-3107.46
4574.12,-3116.22
4518.97,-3130.96
4421.59,-3169.06
4556.33,-3199
4502.32,-3207.55
4173.76,-3215.34
4453.64,-3239.75
4477.14,-3277.13
4843.67,-3169.34
4790.99,-3241.42
4774.03,-3182.87
4943.13,-3241.45
4678.67,-3203.57
4622.34,-3307.53
4677.89,-3292.08
4727.18,-3247.08
4190.75,-3304.92
4443.19,-3363.14
4646.34,-3356.62
4608.27,-3367.58
4660.75,-3388
4530.54,-3373.72
4309.01,-3348.02
4263.75,-3360.45
4234.02,-3394.1
4386.86,-3399.81
4346.23,-3439.61
4256.78,-3461
4697.83,-3460.62
4192.73,-3453.66
4468.24,-3397.1
4491.15,-3441.07
4787.89,-3383.75
4838.36,-3468.07
4887.61,-3442.01
4646.16,-3497.81
4271.87,-3507.08
4389.03,-3512.32
4579.66,-3515.47
4444.15,-3529.06
4497.93,-3539.9
4151.02,-3536.79
4221.19,-3555.92
4715.82,-3548.47
4293.49,-3578.19
4922.58,-3517.36
4426.89,-3619.68
4758.08,-3596.62
4704.85,-3632.01
4662.76,-3634.58
4145.21,-3608.52
4221.42,-3669.19
4370.52,-3658.24
4943.01,-3579.44
4890.52,-3605.9
4956.31,-3649.19
5004.12,-3690.15
4866.65,-3712.92
4131.55,-3689.01
4469.99,-3665.17
4430.56,-3723.27
4622.24,-3664.79
4643.64,-3721.57
4741.7,-3740.31
4701.54,-3757
5071.13,-3605.46
4644.49,-3772.3
4796.2,-3741.1
4847.64,-3814.56
4463.06,-3794.17
4506.63,-3820.8
4607.41,-3796.67
4735.42,-3842.59
4614.37,-3862.46
4560.93,-3871.9
4591.86,-3923.2
4393.64,-3857.05
4475.95,-3869.74
4920.21,-3841.99
4868.39,-3866.42
4806.93,-3908.5
4886.47,-3926.28
4717.17,-3911.38
4679.34,-3932.03
4972.1,-3846.49
5025.79,-3844.91
5079.33,-3832.26
5058.31,-3880.12
4351.92,-3886.29
4414.62,-3935.42
4347.92,-3947.54
4495.8,-3977.7
4703.38,-4004
4431.36,-3993.56
4289.98,-4004.98
4245.58,-4012.86
4938.99,-3288.03
4972.83,-3330.33
4937.55,-3361.5
5052.11,-3180.96
5061,-3244.65
